Partner_Description,Hiscox_COB,full_industry_code
"Manufacturing – Dry Food Products, Non-Frying",OOA,0
"Manufacturing – Dry, Condensed or Evaporated Milk",OOA,0
Manufacturing – Electrical Signs,OOA,0
Manufacturing – Eyeglass Lenses,OOA,0
Manufacturing – Flavored Extracts and Syrups,OOA,0
Manufacturing – Fluid Milk,OOA,0
"Manufacturing – Fruit Drink, Soda, Carbonated Water – Glass Container",OOA,0
"Manufacturing – Fruit Drink, Soda, Carbonated Water – Plastic Container",OOA,0
"Manufacturing – Fruit or Vegetable Juice, Frozen",OOA,0
"Manufacturing – Fruit or Vegetable Juice, Paper Container or Carton",OOA,0
Manufacturing – Glassware,OOA,0
Manufacturing – Ice Cream and Frozen Desserts,OOA,0
Manufacturing – Industrial Patterns,OOA,0
Manufacturing – Jewelry,OOA,0
Manufacturing – Kit Cars or Other Auto,OOA,0
Manufacturing – Lamp Shades,OOA,0
Manufacturing – Lighting Fixtures,OOA,0
"Manufacturing – Meat Prepared Products, Airtight Packaging",OOA,0
"Manufacturing – Meat Prepared Products, Frozen",OOA,0
Manufacturing – Media Duplication,OOA,0
"Manufacturing – Metal Goods – Auto Stamping Fenders, Hubcaps and Body Parts",OOA,0
"Manufacturing – Metal Goods – Bolts, Nuts and Rivets",OOA,0
Manufacturing – Metal Goods – Cold Stamping Component Parts,OOA,0
Manufacturing – Metal Goods – Cutlery and Flatware,OOA,0
"Manufacturing – Metal Goods – Cutting, Machine or Measuring Tools",OOA,0
"Manufacturing – Metal Goods – Dies, Jigs and Fixtures",OOA,0
"Manufacturing – Metal Goods – Doors, Sashes, and Frames",OOA,0
Manufacturing - Metal Goods – Electrical Parts and Components Accessories,OOA,0
Manufacturing – Metal Goods – Fabricated Pieces,OOA,0
Manufacturing – Metal Goods – Fabricated Wire Products and Wire Shelves,OOA,0
"Manufacturing – Metal Goods – Fasteners, Buttons, Needles, and Pins",OOA,0
Manufacturing – Metal Goods – Furniture Assembly,OOA,0
Manufacturing – Metal Goods – Gardening or Hand Tools,OOA,0
Manufacturing – Metal Goods – Musical Instruments,OOA,0
Manufacturing – Metal Goods – Plumbing Fixtures,OOA,0
Manufacturing – Metal Goods – Screw Machine Products,OOA,0
Manufacturing – Metal Goods – Sheer Metal Work and Ducts,OOA,0
Manufacturing – Metal Goods – Signs,OOA,0
Manufacturing – Microbreweries and Other Malt Beverages,OOA,0
Manufacturing – Molds,OOA,0
Manufacturing – Molds and Industrial Patterns,OOA,0
"Manufacturing – Natural, Processed and Imitation Cheese",OOA,0
"Manufacturing – Nuts and Seeds, Salted and Roasted",OOA,0
"Manufacturing – Office and Store Fixtures, Partitions, and Shelves",OOA,0
Manufacturing – Office Machines,OOA,0
Manufacturing – Pasta,OOA,0
Manufacturing – Pickled Fruits and Vegetables or Sauces and Seasonings,OOA,0
"Manufacturing – Plastic Goods – Electrical Parts, Components or Accessories",OOA,0
Manufacturing – Plastic Goods – Eyeglasses Lenses,OOA,0
Manufacturing – Plastic Goods – Other Finished Products,OOA,0
Manufacturing – Prepared Meals and Desserts,OOA,0
Manufacturing – Research & Development,OOA,0
Manufacturing – Residential Air Conditioning,OOA,0
Manufacturing – Residential Electrical Appliances and Accessories,OOA,0
Manufacturing – Residential Refrigeration Equipment,OOA,0
Manufacturing – Vending Machines,OOA,0
Manufacturing – Venetian and Vertical Blinds,OOA,0
Manufacturing – Vinyl Signs,OOA,0
Manufacturing – Wood Furniture and Assembly,OOA,0
Manufacturing – Wood Musical Instruments,OOA,0
Manufacturing – Wood Products,OOA,0
Manufacturing – Wooden Signs,OOA,0
Marina,OOA,0
Marine Cargo Handling,OOA,0
Market Survey and Research,Market research,54191000_13116100_00000000
Marketing Consulting,Marketing/media consulting,54161300_13116100_03000000
Marriage and Family Therapist,Marriage and family therapy,62419000_21101300_00000000
Masonry,Masonry work,23814000_47205100_00000000
Massage Therapist,Massage therapy,62139900_31901100_00000000
Materials Recovery Facilities,OOA,0
Mausoleum – For Profit,OOA,0
Mausoleum – Not for Profit,OOA,0
"Meat, Fish & Poultry Distributor",OOA,0
"Meat, Fish & Poultry Store",Meat & Poultry  Markets,44521000_11101100_00000002
Mediator,OOA,0
Medical and Dental Assistants and Technicians,Dental Hygienist,62139900_29129200_00000000
Medical Billing,Medical billing,54121900_43302100_00000000
Medical Offices – Other,Physicians Office,62111100_29122900_10000000
Medical Spa,OOA,0
Medical Staffing,OOA,0
Medical Transportation,OOA,0
"Medical, Hospital and Surgical Equipment and Supplies Distributor (Excl Products)",OOA,0
Mental Health Counselor,Mental health counseling,62133000_21101400_00000000
Metal Goods Manufacturing Shop – Decorative or Artistic,Metal fabrication,33299900_34990000_01000000
Metal Goods Manufacturing – Wire & Nails,OOA,0
Metal Installation – Decorative,Sheet metal work (exterior),23816000_47221100_00000200
Metal Job Shop – Component Parts Only,OOA,0
Metal Polishing & Finishing Component Parts,OOA,0
Metal Workshop – Load & Non-Load Bearing,OOA,0
"Mining, Quarrying, Oil & Gas Extraction",OOA,0
Mixed Mode Transit Systems,OOA,0
Mobile Auto Repair / Roadside Assistance,OOA,0
Mobile Bartender,OOA,0
Mobile Home (non-motorized) Dealer,OOA,0
Mobile Pet Grooming,Pet Grooming Services - Mobile,81291000_39202000_04000000
Model,OOA,0
Modeling School,OOA,0
Monogramming,Tailors & seamstress,81149000_51605200_00000000
Mortgage Brokers,Mortgage brokering/banking,52231000_13207200_00000000
Motion Picture and Video Production,OOA,0
Motion Picture Theaters (except drive-ins),OOA,0
"Motorcycle, ATV, Scooter, Snowmobile Dealer",OOA,0
Museums,OOA,0
Music Therapist,Music therapy,62134000_29112500_04000000
"Music, Books, Video, or Media Store",Book & Magazine Stores,45121100_11101100_00000000
Musical Instruments Distributor,OOA,0
Musical Instruments Store,Musical Instrument & Supplies Stores,45114000_11101100_00000001
"Nail Salon, Nail Technician",Nail technician services,81211300_39509200_00000000
Natural Gas Distribution,OOA,0
Natural Gas Liquid Extraction,OOA,0
Nature Parks and Other Similar Institutions,OOA,0
Navigational Services to Shipping,OOA,0
New Car Dealership,OOA,0
Newspaper or Magazine Distributor,OOA,0
Newspaper or Magazine Stands,Book & Magazine Stores,45121100_11101100_00000000
Nightclub,OOA,0
Nonferrous Forging,OOA,0
Nonferrous Metal Die-Casting Foundries,OOA,0
Nonmetallic Mineral Mining and Quarrying,OOA,0
Notary Public,Notary services,54112000_23209900_00000000
Nurse,OOA,0
Nursery (Flower / Garden),Nursery & Garden Centers - Retail,44422000_11101100_00000002
Nursing Home,OOA,0
Nutritionist,Diet/nutrition services,81219100_29103100_00000000
Occupational Therapist,Occupational therapy,62134000_29112200_00000000
"Office Equipment, Supplies or Stationary Store",Office Machinery/Equipment,53242000_11101100_00000000
Office Furniture Distributor,OOA,0
Office Machine Equipment & Supplies Distributor,OOA,0
Office Machine Repair,Computer & Office Equip Repair & Maintenance,81121200_49201100_01000000
Office of Bank Holding Companies,OOA,0
Oil / Lube Service,OOA,0
Oil and Gas Field Machinery and Equipment Manufacturing,OOA,0
Oil and Gas Pipeline and Related Structures Construction,OOA,0
Online Retailer NOC,OOA,0
Ophthalmic Goods Wholesaler,OOA,0
Ophthalmologist,Optometrist/Opthalmologist,62132000_29104100_00000000
Optical Goods Distributor,OOA,0
Optical Goods Store,Optometrist/Opthalmologist,62132000_29104100_00000000
Optician,Optometrist/Opthalmologist,62132000_29104100_00000000
Optometrist,Optometrist/Opthalmologist,62132000_29104100_00000000
Orchard,OOA,0
Organic Consulting,Environmental consulting,54162000_13111100_00000000
Outsourcing,OOA,0
Packaged Foods – Frozen,OOA,0
"Packaged Foods – Meat, Fish & Poultry",OOA,0
Packaged Foods – Specialty & Gourmet,OOA,0
Packaged Foods – Other,OOA,0
Packaging and Labeling Services,Packaging services,56191000_53706400_00000000
Packing and Crating,OOA,0
"Paint, Varnish and Supplies Merchant Wholesalers",OOA,0
"Paint, Wall Coverings and Wallpaper Store",Paint & Wallpaper Stores,44412000_11101100_00000000
"Paint, Wallpaper & Wall Coverings Distributor",OOA,0
Painting,Painting (interior only),23832000_47214100_00000100
Paper & Paper Products Distributor,OOA,0
Paralegal,Legal services,54111000_23101100_03000000
Parking Lot & Driveway Sweeping,Exterior cleaning services,56179000_37201900_02000200
Parole Offices and Probation Offices,OOA,0
Party Supplies Store,Party Goods Stores,45322000_11101100_00000005
Passenger Transportation (for a fee),OOA,0
Pastry Shop,Bakery shops,72251300_51301100_00000000
Pay Telephone Provider,OOA,0
Permanent Yard Contractors,OOA,0
Personal Assistant,Personal concierge/assistant,81299000_39601200_00000000
Personal Chef,OOA,0
Personal Image Consultant,Public relations,54182000_27303100_03000000
Personal Trainer,Personal training (health and fitness),61169900_29909100_01000000
Pet / Animal Assisted Therapy,OOA,0
Pet Grooming,Pet grooming,81291000_39202000_03000000
Pet Sitter,Pet sitting,81291000_39202000_06000000
Pet Supplies Distributor,OOA,0
Pet Supplies Store,Pet supply store,45391000_11101100_00000000
Pet Training,Pet Training,81291000_39201100_00000000
Petrochemical Manufacturing,OOA,0
Petroleum and Coal Products Manufacturing,OOA,0
Petroleum and Petroleum Products Merchant Wholesalers,OOA,0
Petroleum Bulk Stations and Terminals,OOA,0
Petroleum Lubricating Oil and Grease Manufacturing,OOA,0
Petroleum Refineries,OOA,0
Pets or Pet Supplies,OOA,0
Pharmaceutical and Medicine Manufacturing,OOA,0
Pharmaceutical Preparation Manufacturing,OOA,0
Pharmacies and Drug Stores,OOA,0
Phlebotomist,OOA,0
Photocopying & Blueprinting,Copy Shops,56143900_43907100_01000000
Photographic Equipment Store,Camera & Photo Equipment Stores,44314200_11101100_00000001
Photography Studio,Photography,54192100_27402100_01000000
Physical Therapists,Physical therapy,62134000_29112300_00000000
Physician,Physicians Office,62111100_29122900_10000000
Physiotherapists,Physical therapy,62134000_29112300_00000000
Piano & Organ Stores,Piano & Organ Stores,45114000_11101100_00000002
Picture Frames Stores,Framing Shops,44229900_11101100_00000006
Pipeline Transportation,OOA,0
Pizza Delivery Shop,Pizza Parlors & Delis - No Table Service,72251300_11101100_04000000
Pizzeria,Pizza Parlors & Delis - No Table Service,72251300_11101100_04000000
Plastering or Stucco Work,Plastering or stucco work,23831000_47208100_02000000
Plastic & Rubber Supply Goods Distributor,OOA,0
Plowing (crops),OOA,0
Plumbing,Plumbing (residential or domestic),23822000_47215200_00010000
Plumbing Fixtures or Supply Store,Hardware Store,44413000_11101100_00000000
Plumbing Supplies & Fixtures Distributor,OOA,0
Podiatrist,Podiatrist,62139100_29108000_00000000
Police Protection,OOA,0
Political Club,OOA,0
Pool Supplies Store,OOA,0
Port and Harbor Operations,OOA,0
Postal Service,OOA,0
Postharvest Crop Activities (except cotton ginning),OOA,0
Pottery Stores,Other stores (without food/drinks),45399800_11101100_00000007
Poultry Farmer,OOA,0
Poultry Hatcheries,OOA,0
Poultry Production,OOA,0
Practical Nursing School,OOA,0
Prepaid Calling Card Vendor (no machines),OOA,0
"Preparatory, Academy or Military Academy School",OOA,0
Pressure / Power Washing,Power washing services,56179000_37201900_01000000
Pretzel Stores (no frying),Bakery shops,72251300_51301100_00000000
Printers – Copying & Duplicating,Copy Shops,56143900_43907100_01000000
Printing,Book Printing,32311700_51511200_00000000
Printing – Screen Printing,Screen printing,32311300_51511200_00000000
Prisoner Transportation,OOA,0
"Private Academic School (not elementary, jr. high or high school)",OOA,0
"Private Elementary, Middle or Jr. High School",OOA,0
Private High School,OOA,0
Private Mail Centers,Mail Box & Packaging Services,56143100_53706400_00000000
Process Server,Process server,54119900_23209900_00000000
Produce Broker,OOA,0
Produce Distributor,OOA,0
Produce Farmer,OOA,0
Produce Stores (not open air),Fruit & Vegetable Markets,44522000_11101100_00000000
Professional Associations (non-profit),Professional non profit,81391000_11203300_03000000
Professional Employer Organizations,OOA,0
Professional Organizations,OOA,0
Project Manager (architecture or engineering),Agency construction manager,54133000_11902100_01000000
"Promoters of Performing Arts, Sports and Similar Events",OOA,0
Property & Casualty Insurance Agents,Insurance agent,52421000_41302100_00000000
Property Managers,Property management,53131100_11914100_00000000
Property Preservation,OOA,0
Psychiatrist,Psychiatrists Offices,62111200_29122300_00000000
Psychologist,Mental health counseling,62133000_21101400_00000000
Public Finance Activities,OOA,0
Public Relations,Public relations,54182000_27303100_03000000
Public Speaker,"Training (business, vocational or life skills)",61169900_13115100_01000000
Publisher with Printing,Publishing (including printing),51119900_51511300_01000000
Publishing Offices (No Printing Operations),Book publishing (no printing),51113000_51511300_01000000
Racetracks,OOA,0
"Radio, TV Distributor",OOA,0
Radiology Labs,Diagnostic imaging/X-ray centers,62151200_29201100_00000000
Railroads,OOA,0
Ranch Hand,OOA,0
Rancher,OOA,0
Reading Learning Center,Learning center,61169100_25304100_01000000
Reading Learning Center (Franchise),Learning center,61169100_25304100_01000000
Reading Programs,OOA,0
Real Estate & Insurance School,OOA,0
Real Estate Agent / Broker,Real estate agent/broker,53121000_41902100_00000000
Real Estate Appraisers,Real estate appraisers,53132000_13202300_00000000
Recreation Club (non-profit),OOA,0
Recreational Goods Rental,OOA,0
Recreational Therapist,Dance therapy,62134000_29112500_02000000
Recreational Vehicle Dealers,OOA,0
Recruiting,Executive placement,56131200_13107100_00000000
Refrigerated Goods,OOA,0
Refrigeration Equipment Distributor,OOA,0
Registered Agent,OOA,0
Rehabilitation Counselor,Substance abuse counseling,62419000_21101100_00000000
"Religious – Elementary, Middle or Jr. High School",OOA,0
Religious Articles & Church Supplies Distributor,OOA,0
Religious High School,OOA,0
Religious School (Not Operated by Churches),OOA,0
Remediation Services,Remediation contractor,56291000_17990000_00000000
Repossession Services,OOA,0
Research Consulting,Research consulting,54169000_13111100_00000000
Residential Rental Property Owner,OOA,0
Restaurant – Drive In,Limited Service Restaurant With Alcohol,72251100_11101100_00000000
Restaurant – Fast Food,Limited Service Restaurant With Alcohol,72251100_11101100_00000000
Restaurant – Fine Dining,OOA,0
Restaurant – Full Service,OOA,0
Restaurant / Store Fixture & Supply Distributor,OOA,0
Restaurant Operation School,OOA,0
Resume Typing Service,Resume consulting,54161100_13111100_06000000
Rideshare,OOA,0
Risk Management and Insurance Consulting,Business consulting,54161100_13111100_01000000
Roofing,Roofing contractor,23816000_17610000_00000000
Rooming and Boarding Houses,OOA,0
Rubber Stamp Business,OOA,0
Rust Proofing,OOA,0
RV (Recreational Vehicle) Parks and Campgrounds,OOA,0
Sandwich Shop,Sandwich Shops,72251300_11101100_05000000
Satellite Technician,Communication equipment installation (cable/satellite),23821000_49905200_02000000
Scenic and Sightseeing Transportation,OOA,0
School Guidance Counselor,OOA,0
School Supplies Store,School Supplies Stores,45321000_11101100_00000002
Scrapbooking,Artists,71151000_27101000_00000000
Secretarial School,OOA,0
Security Guards and Patrol Services,OOA,0
Semi-Trailer (5th Wheel Coupler) Dealer,OOA,0
Senior Activities Center (non-medical),OOA,0
Senior Citizen Transportation,OOA,0
Septic Tank Systems – Cleaning,OOA,0
"Septic Tank Systems Installation, Service or Repair",OOA,0
Sewer Cleaning,OOA,0
Sewing Machine Store,Sewing Machine Stores,44311100_11101100_00000000
Sheet Metal Work,Sheet metal work (exterior),23816000_47221100_00000200
Ship and Boat Building,OOA,0
Shoe Distributor,OOA,0
Shoe Repair,Footwear & leather goods repair,81143000_51604100_00000000
Shoe Store,Shoe Stores,44821000_11101100_00000000
Siding Installation,Siding installation (< 3 stories),23817000_47203100_01000000
Sightseeing Tours,OOA,0
Sign Installation,OOA,0
Sign Painting,Sign painting and lettering (interior only),54189000_51912300_00000100
Sign Stores – No Flammable Ink Printing,OOA,0
Skiing Facilities,OOA,0
Sleep Disorder,OOA,0
Smartphone / Mobile Phone / Tablet Application Development,Application development,54151900_15125100_00000000
Smoothie Shop,Smoothie bars,72251500_11101100_13000000
Snack Bar,"Snack, Nonalcoholic Beverages Stands",72233000_11101100_15000000
Snow Plowing / Ice Removal,Snow blowing and removal (no auto coverage),56179000_37301100_01000000
Social Media / Social Networking,Social media consultant,54161300_13116100_05000000
Social Worker,Social work services,62419000_21102900_00000000
Software / Internet Design,Software development,54151900_15125200_01000000
Software Development,Software development,54151900_15125200_01000000
Soil Preparation Services,OOA,0
Solar Electric Power Generation,OOA,0
Solar Panel Cleaning,Solar energy installation & repair,23821000_47223100_00000000
Space Research and Technology,OOA,0
Special Needs Transportation,OOA,0
Specialty Wine & Liquor Store,Beverage Store - Beer and Wine,44531000_11101100_00000000
Speech Pathologist / Therapist,Speech therapy,62134000_29112700_00000000
Speech therapist (non-profit),Speech therapy,62134000_29112700_00000000
Sporting Goods Distributor (No Firearms / Ammunition),OOA,0
Sporting Goods Store,OOA,0
Sports Teams / Club,OOA,0
Stationery Supplies,OOA,0
Steak House,OOA,0
Stenciling,Graphic design,54143000_27102400_00000000
Stock Brokers,Stock brokering,52312000_41303100_00000000
Street Cleaning,OOA,0
Substance Abuse Counselor,Substance abuse counseling,62419000_21101100_00000000
Suicide Hotline or Prevention Center,OOA,0
Sunglass Distributor,OOA,0
Surveying,Land surveyor,54137000_17102200_00000000
Swimming Pool Cleaning & Maintenance,Swimming pool contractor,23899000_17990100_00000000
Swimming Pool Installation & Repair,Swimming pool contractor,23899000_17990100_00000000
Tailors,Tailors & seamstress,81149000_51605200_00000000
Takeout Eating Places,Limited Service Restaurant With Alcohol,72251100_11101100_00000000
Talent Agency,Talent agency,71141000_13101100_00000000
Tattoo Parlor / Artist,OOA,0
Tax Preparers,Tax preparation,54121300_13208200_00000000
Taxi (Amish),OOA,0
Taxi – Airport,OOA,0
Taxi – Non-Emergency Medical Transportation,OOA,0
Taxi – Rural,OOA,0
Taxi Service,OOA,0
Taxidermist,Taxidermists,71151000_27101900_00000000
Technical Writer,OOA,0
Technical Writing,OOA,0
Technical Service Provider,IT project management,54169000_15119900_00000000
Telecommunications Consulting,Telecommunications consulting,54161800_13111100_02000000
Telemarketing Offices,Telemarketer,56142200_41904100_00000000
Telephone Call Centers,OOA,0
Telephone Distributor,OOA,0
Telephone Equipment Installation w/Office Only,Telecom installation,23821000_49905200_03000000
Theater Companies and Dinner Theaters,OOA,0
Thrift Store,Used Merchandise Stores,45331000_11101100_00000000
Ticket Broker,Ticket agency,56159900_43418100_00000000
Tile / Stone / Marble / Mosaic / Terrazzo Installation,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",23834000_47204400_00000100
Timber Tract Operations,OOA,0
Tire Dealers – New (No Used),OOA,0
"Tire Dealers – Used, Retreads or Split Rims",OOA,0
Title Abstractors,Title abstracter,54119100_23209300_00000000
Title Agents / Closing Agents,OOA,0
Tobacco Distributor,OOA,0
Tobacco Shop,OOA,0
Toner Cartridge Recharging,Office Equipment Repair and Maintenance,81121200_49201100_03000000
Towing,OOA,0
Toy Store,OOA,0
TPA / Pension Planners,OOA,0
Trade Association (non-profit),Trade Association non profit,81391000_11203300_04000000
Trade School,OOA,0
Traffic Management Consulting,Health and Safety Engineer,54133000_17211100_00000000
"Trailer (Utility, and Horse Trailers) Dealer",OOA,0
Trailer Hitch Installation or Repair,OOA,0
Translators,Translating/interpreting,54193000_27309100_00000000
Transmission Repair,OOA,0
Transportation – Passengers (At No Charge),OOA,0
Transportation for Elderly Persons (For Hire),OOA,0
Trapper,OOA,0
Travel Agents,Travel agency,56151000_41304100_00000000
Tree Trimming,Tree removal,56173000_37301100_04000000
Trophies and Awards Store,Trophy Stores,45399800_11101100_00000008
Trophy Distributor,OOA,0
Trucker – Agriculture Hauling,OOA,0
Trucker – Coal Hauling,OOA,0
Trucker – Debris Removal,OOA,0
"Trucker – Dirt, Sand and Gravel",OOA,0
Trucker – Escort Vehicles,OOA,0
Trucker – Expediters,OOA,0
Trucker - Fracking Sand,OOA,0
Trucker - Fracking Water (fresh or production),OOA,0
Trucker – Garbage & Trash,OOA,0
Trucker – General Freight,OOA,0
Trucker – Hazardous Materials Hauling,OOA,0
Trucker – Hotshot Transport,OOA,0
Trucker – Household Goods Mover,OOA,0
Trucker – Livestock Hauling,OOA,0
Trucker – Loads with Placards,OOA,0
Trucker – Logging,OOA,0
Trucker – Machinery & Heavy Equipment,OOA,0
Trucker – Mobile Home Toter,OOA,0
Trucker – Oilfield Materials,OOA,0
Trucker – Scrap Metal / Scrap Auto,OOA,0
Tune-up / Emission Testing,OOA,0
Tutor,Tutoring,61169100_25309900_00000000
Tuxedo Rental,Formal Wear & Costume Rental,53228100_11101100_00000000
Uber,OOA,0
Upholstering Shop,Upholstery work,81142000_51609300_00000000
Upholstery / Sunroof Work,OOA,0
Urban Transit Systems,OOA,0
Used Car Dealership,OOA,0
Used Household and Office Goods Moving,OOA,0
Vacuum Cleaner Sales & Service,Vacuum Cleaner Sales & Service,44314100_11101100_00000003
Valet Parking,OOA,0
Van Conversion,OOA,0
Vehicle Impound Yards,OOA,0
Vehicle Welding,OOA,0
Vending Machine Operator,OOA,0
Venetian Blind Cleaning,Janitorial/cleaning services,56172000_37201100_01000000
Video or DVD Rental Store,Video Tapes & Disc Rental,53228200_11101100_00000000
Video Production and Editing Studio,OOA,0
Videography & Photography – Freelance,Photography,54192100_27402100_01000000
Vineyard,OOA,0
Vinyl / Leather Repair,OOA,0
Vision Centers (Opticians & Optometrists),Optometrist/Opthalmologist,62132000_29104100_00000000
Visitor Bureau,OOA,0
Vitamins Store,OOA,0
Vocational Workshops (Not for Profit),"Training (business, vocational or life skills)",61169900_13115100_01000000
Warehousing and Storage,OOA,0
Waste Collection,OOA,0
Waste Combustors and Incinerators,OOA,0
Waste Landfill,OOA,0
Waste Management and Remediation Services,OOA,0
Waste Treatment and Disposal,OOA,0
"Watch, Clock & Jewelry Repair",Clock making and repair,81149000_49906400_00000000
Water and Sewer Line and Related Structures Construction,OOA,0
"Water, Sewage and Other Systems",OOA,0
Website Development / Online Advertising (SEO & SEM) / Online Media,Website design,54151200_15125400_00000000
Website Hosting / ASP / SaaS / Data Center / Cloud Services,"Data Processing Services,",51821000_15121100_00000000
Wedding Chapels,OOA,0
Wedding Consulting,Event planning/promotion,81299000_13112100_00000000
Welding,Welder,81131000_76920000_00000000
Wellness Counselor,Life/career/executive coaching,54161100_11101100_00000000
Wig Store,Wigs & Toupees Stores,44815000_11101100_00000004
Window Cleaning,Window cleaning (nothing above 15 feet),56172000_37201100_02000000
Window Tinting,OOA,0
Window Treatment Stores,Window Treatment Stores,44229100_11101100_00000002
Windshield Installation / Repair,OOA,0
Wine Bar,OOA,0
Winery,OOA,0
Word Processing,Document preparation,56141000_23101200_00000000
X-Ray or Imaging Laboratory,Medical Laboratories,62151100_29201100_00000000
Zoos and Botanical Gardens,OOA,0
Farmer's market - vegetable stand,Fruit & Vegetable Markets,44522000_11101100_00000000
Remodeling contractor and construction,Renovation contractor,23611800_15310000_00000000
Commercial and institutional building construction,General Contractor - Construction and installation only,23622000_15420000_01000000
Computer Networking Cable Installation,Communication equipment installation (cable/satellite),23821000_49905200_02000000
Asphalt paving contractors,Driveway or sidewalk paving/repaving,23899000_47409100_00000000
Driveway paving,Driveway or sidewalk paving/repaving,23899000_47409100_00000000
Concrete driveway or parking area construction,Driveway or sidewalk paving/repaving,23899000_47409100_00000000
Framing contractors,Framing contractor,23813000_17510000_02000000
Roof truss (wood) installation,Roofing contractor,23816000_17610000_00000000
General contractor,General Contractor - Construction and installation only,23622000_15420000_01000000
Masonry Contractor (<25% hiring subs),Masonry work,23814000_47205100_00000000
Masonry or stonework general contractor and construction,Masonry work,23814000_47205100_00000000
Stucco and plastering contractors,Plastering or stucco work,23831000_47208100_02000000
Concrete block laying,Concrete contractor,23839000_47205100_00000000
Hardscaping contractor,Landscaping/gardening services,56173000_37301100_01000000
"Stonework masonry contractor, exterior only",Masonry work,23814000_47205100_00000000
Bricklaying contractors,Masonry work,23814000_47205100_00000000
"Fireplace, masonry, installation, chimney",Chimney construction & maintenance,23814000_47202100_02000000
Glass and Glazing Contractor,Glass & glazing contractor/window contractor/glazier,23815000_47212100_02000000
Glass Tinting - Buildings,Glass & glazing contractor/window contractor/glazier,23815000_47212100_02000000
Roofing contractors,Roofing contractor,23816000_17610000_00000000
Siding contractors,Siding installation (< 3 stories),23817000_47203100_01000000
Gutter Installation,Gutter & downspout work,23817000_47221100_00000000
Siding Contractor  (<25% hiring subs),Siding installation (< 3 stories),23817000_47203100_01000000
"Metal or steel installation, decorative",Sheet metal work (exterior),23816000_47221100_00000200
Electrician electrical,Electrical work (interior only),23821000_47211100_01000100
Low voltage electrical work,Electrical work (interior only),23821000_47211100_01000100
Cable television hookup contractors satellite fiber,Communication equipment installation (cable/satellite),23821000_49905200_02000000
Solar panel installation,Solar energy installation & repair,23821000_47223100_00000000
Audio equipment installation (except automotive) contractors,Audio/video installation,23821000_49209700_01000000
Telecommunications equipment and wiring (except transmission,Communication equipment installation (cable/satellite),23821000_49905200_02000000
Computer and network cable installation,Cabling installation,23821000_49905200_01000000
Communication equipment installation,Communication equipment installation (cable/satellite),23821000_49905200_02000000
"Burglar alarm system, electric, installation only",Security system installation,56162100_49209800_00000000
"Fire alarm system, electric, installation only",Security system installation,56162100_49209800_00000000
Electrical Contractor (<25% hiring subs),Electrical work (interior only),23821000_47211100_01000100
Home automation system installation,Electrical work (interior only),23821000_47211100_01000100
Fiber optic cable installation,Cabling installation,23821000_49905200_01000000
Home theater installation home entertainment,Home theater installation,81121100_49209700_00000000
"Surveillance system, installation only",Security system installation,56162100_49209800_00000000
Intercommunication (intercom) system installation,Electrical work (interior only),23821000_47211100_01000100
Handyman home repair facility facilities maintenance,Handyperson (no roof work),23839000_49907100_01000000
