Partner_Description,Hiscox_COB,full_industry_code
"Heating, ventilation and air-conditioning (HVAC) contractors",Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Plumbers plumbing,Plumbing (residential or domestic),23822000_47215200_00010000
HVAC Contractor ( <25% hiring subs),Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Bathroom plumbing fixture and sanitary ware installation,Plumbing (residential or domestic),23822000_47215200_00010000
Plumbing and heating contractors,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
"Duct work (e.g., cooling, dust collection, exhaust, heating,",Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Septic tank system installation repair,Demolition and excavation,23891000_17940000_01000000
Plumbing Contractor  (<25% hiring subs),Plumbing (residential or domestic),23822000_47215200_00010000
Fire sprinkler system installation,Fire system installation & sprinkler services,23822000_47215200_00030000
Lawn sprinkler system installation,Plumbing (residential or domestic),23822000_47215200_00010000
Duct work cleaning ,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Air-conditioning system (except window) installation,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Central air-conditioning equipment installation AC HVAC,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Central heating equipment and piping installation,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Heating equipment installation,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
Water Softening and Purification Systems Installation,Plumbing (residential or domestic),23822000_47215200_00010000
Commercial freezer installation refrigerator fridge refriger,Refrigeration system install & repair,81141200_49902100_00000000
"Sprinkler system, building, installation",Fire system installation & sprinkler services,23822000_47215200_00030000
Kitchen sink and hardware installation,Plumbing (residential or domestic),23822000_47215200_00010000
Chilled water system installation,Plumbing (commercial or industrial),23822000_47215200_00020000
Fuel oil burner installation,Heating and air conditioning installation and repair (no liquefied petroleum gas (LPG)),23822000_49902100_02000000
"Drain, waste and vent system installation",Plumbing (commercial or industrial),23822000_47215200_00020000
Drywall contractors (Hanging/Finishing),Drywall/wallboard installation & repair (no framing/EIFS/external insulation/structural work),23831000_47208100_01000000
Drywall contractors (Finishing Only),Drywall/wallboard installation & repair (no framing/EIFS/external insulation/structural work),23831000_47208100_01000000
"Blown-in insulation (e.g., cellulose, vermiculite) installat",Interior finishing work,23835000_47203100_03000100
Glass fiber insulation installation,Interior finishing work,23835000_47203100_03000100
Ceiling tile installation,Interior finishing work,23835000_47203100_03000100
"Fresco (i.e., decorative plaster finishing) contractors",Plastering or stucco work,23831000_47208100_02000000
Exterior insulation finish system installation,Exterior finishing & siding (EIFS),23839000_49909900_03000000
Painting (except roof) contractors,Painting (interior & exterior) less than 3 stories,23832000_47214100_00000300
House painting,Painting (interior & exterior) less than 3 stories,23832000_47214100_00000300
Painting and wallpapering,Painting (interior only),23832000_47214100_00000100
Wallpaper hanging and removal contractors,Painting (interior only),23832000_47214100_00000100
Paint and wallpaper stripping,Painting (interior only),23832000_47214100_00000100
Whitewashing contractors,Painting (interior & exterior) less than 3 stories,23832000_47214100_00000300
Paperhanging and removal contractors,Painting (interior & exterior) less than 3 stories,23832000_47214100_00000300
"Linoleum, installation only vinyl flooring",Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
"Carpet, installation only, flooring",Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
Hardwood flooring installation (incl. sanding or scraping,Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
"Hardwood flooring, installation only",Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
Resurfacing hardwood flooring,Floor covering installation (no ceramic tile/stone),23833000_47204200_01000000
Tile (except resilient) laying and setting,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",23834000_47204400_00000100
"Marble, granite, and slate, interior installation contractor","Tile, stone, marble, mosaic, or terrazzo work (interior only)",23834000_47204400_00000100
Stone flooring installation,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",23834000_47204400_00000100
Terrazzo and tile refinishing,"Tile, stone, marble, mosaic, or terrazzo work (interior only)",23834000_47204400_00000100
Finish carpentry,Interior finishing work,23835000_47203100_03000100
Interior Carpentry (no remodeling or framing),Carpentry (interior only),23835000_47203100_01000100
"Deck construction, residential-type",Carpentry (interior & exterior),23835000_47203100_01000300
Door and window frame construction,Carpentry (interior only),23835000_47203100_01000100
Built-in wood cabinets constructed on site,Carpentry (interior only),23835000_47203100_01000100
Window installation,Door or window installation and repair,23835000_47203100_02000300
Door / Window Contractor (<25% hiring subs),Door or window installation and repair,23835000_47203100_02000300
"Countertop, residential-type, installation",Counter top installation,23835000_47204400_00000000
Screen door or window screen installation,Door or window installation and repair,23835000_47203100_02000300
"Fabrication, metal cabinet or countertop, on site",Metal fabrication,33299900_34990000_01000000
"Concrete coating, glazing or sealing",Concrete contractor,23839000_47205100_00000000
"Office furniture, modular system, installation",Furniture and fixture installation,23839000_49909900_01000000
"Furniture system attachment and installation, house",Furniture and fixture installation,23839000_49909900_01000000
"Panel, metal, installation",Furniture and fixture installation,23839000_49909900_01000000
Window shade and blind installation,Window treatment installation,81149000_49909900_00000000
"Ceiling, metal, installation",Furniture and fixture installation,23839000_49909900_01000000
Bathtub refinishing or reglazing,Furniture and fixture installation,23839000_49909900_01000000
"Excavating, earthmoving, or land clearing contractors",Demolition and excavation,23891000_17940000_01000000
Demolition contractor,Demolition and excavation,23891000_17940000_01000000
Land grading contractor,Land grading Services,23891000_37301900_00000000
"Asphalting, residential and commercial driveway and parking ",Driveway or sidewalk paving/repaving,23899000_47409100_00000000
Fencing contractors (except electronic containment fencing f,Fence installation and repair,23899000_47403100_00000000
"Swimming pool, outdoor, construction",Swimming pool contractor,23899000_17990100_00000000
Chain link fence installation,Fence installation and repair,23899000_47403100_00000000
Patio construction,Renovation contractor,23611800_15310000_00000000
Bakery baked goods baking on premises,Bakery shops,72251300_51301100_00000000
Tailoring or Dressmaking - Custom,Tailors & seamstress,81149000_51605200_00000000
Shoe repair,Footwear & leather goods repair,81143000_51604100_00000000
Commercial printing and engraving,Other Commercial Printing Services,32311100_51511200_02000000
"Commercial printing, playing cards",Other Commercial Printing Services,32311100_51511200_02000000
Commercial screen printing,Screen printing,32311300_51511200_00000000
"Cards printing, stationery and letterpress",Other Commercial Printing Services,32311100_51511200_02000000
Engraver / engraving service,Other Commercial Printing Services,32311100_51511200_02000000
Radio and television broadcasting and wireless communication,Radio station (no antenna/tower),51511200_11102100_01000000
Clock manufacturing and repair,Clock making and repair,81149000_49906400_00000000
Dental Laboratories,Dental Laboratories,33911600_29201100_00000000
Auto Parts and Supply Store,Automotive Parts & Accessories Stores,44131000_11101100_00000000
"Furniture and appliance stores (i.e., primarily retailing fu",Home furnishing stores,44229900_11101100_00000007
Rug stores,Home furnishing stores,44229900_11101100_00000007
Housewares stores,Home furnishing stores,44229900_11101100_00000007
Custom picture frame shops,Framing Shops,44229900_11101100_00000006
Household appliance stores,Appliance/electronic stores,44314100_11101100_00000001
"Appliance stores, household-type",Appliance/electronic stores,44314100_11101100_00000001
"Cellular phone sales, service, and repair",Cell Phone stores,44314200_11101100_00000002
Computer store,"Computer, Equipment & Software Retail",44314200_11101100_00000003
Electronics store,Appliance/electronic stores,44314100_11101100_00000001
"Record store, music, CD","Record, CD, Music & Tape Stores",44314200_11101100_00000006
Home centers,Home Centers,44411000_11101100_00000000
Paint stores,Paint & Wallpaper Stores,44412000_11101100_00000000
Hardware stores,Hardware Store,44413000_11101100_00000000
Lighting store,Lamps & Lighting Fixtures Stores,44229900_11101100_00000010
Mobility equipment store,Health & Personal Care Stores,44619100_11101100_00000000
Grocery store,"Grocery Stores < 15,000 sq ft",44511000_11101100_00000000
Grocery store specialty food market health food,Specialty Food Stores,45111000_11101100_00000000
Fruit and vegetable markets,Fruit & Vegetable Markets,44522000_11101100_00000000
Delicatessens,Delis and Delicatessens,72251300_11101100_01000000
Meat retailer,Butcher Shops,44521000_51302200_00000000
Butcher shops,Butcher Shops,44521000_51302200_00000000
"Tea and coffee retailer, packaged",Coffee & Tea Stores,44529900_11101100_00000004
Soft drink retailer,Beverage Stores - Soft Drinks,44529900_11101100_00000001
"Liquor stores, package",Beverage Store - Beer and Wine,44531000_11101100_00000000
"Wine shops, speciality",Beverage Store - Beer and Wine,44531000_11101100_00000000
"Beer stores, packaged",Beverage Store - Beer and Wine,44531000_11101100_00000000
"Wine shops, packaged",Beverage Store - Beer and Wine,44531000_11101100_00000000
Drug store / Pharmacy - no food,Drug Stores,44611000_11101100_00000000
Drug store / Pharmacy - sells food,Drug Stores,44611000_11101100_00000000
Beauty supply stores,"Cosmetic, Beauty Supply & Perfume Stores",44612000_11101100_00000000
Optical goods store,Health & Personal Care Stores,44619100_11101100_00000000
"Food (i.e., health) supplement stores, vitamin store",Health & Personal Care Stores,44619100_11101100_00000000
All other health and personal care stores,Health & Personal Care Stores,44619100_11101100_00000000
Clothing store adult,Clothing/apparel stores,44819000_11101100_00000002
Clothing store children infant,Children's & Infants Clothing Stores,44813000_11101100_00000000
Women's clothing stores,Women's Clothing Stores,44812000_11101100_00000002
Clothing accessories stores,Clothing/apparel stores,44819000_11101100_00000002
Other clothing stores,Other Clothing Stores,44814000_11101100_00000002
Shoe stores,Shoe Stores,44821000_11101100_00000000
"Jewelry stores, precious",Jewelry stores,44831000_11101100_00000002
Watch shops,Watch Stores,44831000_11101100_00000003
Luggage stores,Luggage Stores,44832000_11101100_00000002
"Kitchenware store, retail",Kitchen Accessories Stores,44229900_11101100_00000008
Camera and photography equipment store,Camera & Photo Equipment Stores,44314200_11101100_00000001
"Footwear (e.g., bowling, golf, spiked), specialty sports, st",Shoe Stores,44821000_11101100_00000000
Hobby and model shop,Hobby Supply Stores,45399800_11101100_00000005
"Dry goods, fabrics, and yarn store","Piece Goods, Sewing & Needlework Stores",45113000_11101100_00000002
Musical instrument stores,Musical Instrument & Supplies Stores,45114000_11101100_00000001
Book stores bookstores,Book & Magazine Stores,45121100_11101100_00000000
News dealers and newsstands,Book & Magazine Stores,45121100_11101100_00000000
General stores,General Merchandise Stores,45231900_11101100_00000001
Variety stores,General Merchandise Stores,45231900_11101100_00000001
"Dollar stores, five and dime",General Merchandise Stores,45231900_11101100_00000001
Office supplies and stationery stores,Office Supplies & Stationery Stores,45321000_11101100_00000001
Gift Shop,"Gift, Greeting Card Novelty, & Souvenirs",45322000_11101100_00000004
Christmas stores,Christmas Stores,45322000_11101100_00000002
"Card shops, greeting","Gift, Greeting Card Novelty, & Souvenirs",45322000_11101100_00000004
"Clothing stores, used",Used Merchandise Stores,45331000_11101100_00000000
"Apparel stores, used clothing consignment, vintage clothing",Used Merchandise Stores,45331000_11101100_00000000
"Book stores, used",Used Merchandise Stores,45331000_11101100_00000000
"Consignment shops, used merchandise",Used Merchandise Stores,45331000_11101100_00000000
"Furniture stores, used",Used Merchandise Stores,45331000_11101100_00000000
"Appliance stores, household-type, used",Used Merchandise Stores,45331000_11101100_00000000
Pet and pet supply store,Pet supply store,45391000_11101100_00000000
Art galleries retailing art,Art Dealers or Galleries,45392000_11101100_00000000
"Flower shops, artificial or dried",Flower (Artificial) Stores,45399800_11101100_00000004
Church / religious supplies store,Church Supply Stores,42349000_11101100_00000000
Art supply stores,Hobby Supply Stores,45399800_11101100_00000005
Candle shops without manufacturing,Candle Shops,45399800_11101100_00000002
Department store,Home Centers,44411000_11101100_00000000
"House cleaning or laundry supplies, retail",Home Centers,44411000_11101100_00000000
Florist,Florists,45311000_27102300_00000000
"Retail store, other",Other stores (without food/drinks),45399800_11101100_00000007
Water delivery,Delivery service providers,49221000_11101100_00000000
Couriers and express delivery services,Delivery service providers,49221000_11101100_00000000
Messenger service,Delivery service providers,49221000_11101100_00000000
Public Library or Museum,Library,51912000_11101100_00000000
Mortgage or Loan Brokers,Mortgage brokering/banking,52231000_13207200_00000000
Investment banking and securities dealing,Stock brokering,52312000_41303100_00000000
Finance financial advisory,Investment advice,52393000_13205200_02000000
Asset management,Trustee services,52399100_23209900_00000000
"Financial or Investment planning, no travel",Investment advice,52393000_13205200_02000000
"Financial or Investment planning, with travel",Investment advice,52393000_13205200_02000000
Insurance agency / brokerage,Insurance agent,52421000_41302100_00000000
"Building, residential, rental or leasing property management",Property management,53131100_11914100_00000000
Apartments/ Townhome management,Property management,53131100_11914100_00000000
Property managers,Property management,53131100_11914100_00000000
Real estate agent,Real estate agent/broker,53121000_41902100_00000000
Offices of real estate appraisers,Real estate appraisers,53132000_13202300_00000000
Formal wear and costume rental,Formal Wear & Costume Rental,53228100_11101100_00000000
Law offices lawyer's office law firm,Attorneys office,54111000_23101100_01000000
Title Agency,Title abstracter,54119100_23209300_00000000
Patent Agent,Legal services,54111000_23101100_03000000
Accounting & Auditing Services (CPA),Accounting,54121100_13201100_01000000
Tax Preparation and Bookkeeping,Tax preparation,54121300_13208200_00000000
Accounting & Auditing Services,Accounting,54121100_13201100_01000000
Accountants' (except CPAs) offices accounting,Accounting,54121100_13201100_01000000
Tax preparation prep,Tax preparation,54121300_13208200_00000000
Bookkeepers' offices,Bookkeeping,54121900_43303100_00000000
Medical coding services combined with accounting services (e,Accounting,54121100_13201100_01000000
Architect architectural engineering,Architecture,54131000_17101100_00000000
"Architects' private practices, landscape",Landscape architect,54132000_17101200_00000000
Drafting services,Draftsman (including CAD/CAM),54134000_17301900_01000000
Home inspection services building,Building inspection,54135000_47401100_00000000
Land surveyor,Land surveyor,54137000_17102200_00000000
"Decorating consulting services, interior home improvement",Interior design,54141000_27102500_02000100
Interior Decorators,Interior decorator,54141000_27102500_01000100
Home staging decorating,Interior decorator,54141000_27102500_01000100
Graphic design without printing services,Graphic design,54143000_27102400_00000000
Graphic design with printing services,Graphic design,54143000_27102400_00000000
Software development IT web computer technology consulting -,IT consulting,54169000_15129900_00000000
Web design computer software digital,Website design,54151200_15125400_00000000
Computer systems design services,Computer programming services,54151100_15125100_02000000
Administrative management and general management consulting ,Management consulting,54161100_13111100_04000000
Marketing consulting services,Marketing/media consulting,54161300_13116100_03000000
Other management consulting services,Management consulting,54161100_13111100_04000000
Advertising marketing agency,Advertising,54181000_41301100_00000000
Public relations agency,Public relations,54182000_27303100_03000000
Portrait photography services photo photographer video video,Photography,54192100_27402100_01000000
Photography studio photographer photography,Photography,54192100_27402100_01000000
Business consulting IT management,Business consulting,54161100_13111100_01000000
Event planning entertainment service,Event planning/promotion,81299000_13112100_00000000
Digital marketing internet social media online consulting cr,Digital marketing,54161300_13116100_02000000
Business management services,Business manager services,56149900_13101100_00000000
Administrative management services,Business manager services,56149900_13101100_00000000
Clerical and office work,Office administrative services,56111000_43601000_00000000
Travel agent,Travel agency,56151000_41304100_00000000
Notary public service,Notary services,54112000_23209900_00000000
Translation and interpretation interpreter services,Translating/interpreting,54193000_27309100_00000000
Office administration services,Office administrative services,56111000_43601000_00000000
Clerical work from home employees,Office administrative services,56111000_43601000_00000000
Office management services,Business manager services,56149900_13101100_00000000
Personal assistant,Office administrative services,56111000_43601000_00000000
Call Centers,Answering/paging services,56142100_43201100_00000000
Mailing or Addressing Companies,Direct marketing,54186000_13116100_00000000
Other business service centers,Office administrative services,56111000_43601000_00000000
Document print and copy service,Copy Shops,56143900_43907100_01000000
Locksmith,Locksmiths,56162200_49909400_00000000
Janitorial or custodial services commercial cleaning,Janitorial/cleaning services,56172000_37201100_01000000
Pressure wash power washing exterior window,Power washing services,56179000_37201900_01000000
Cleaning offices,Janitorial/cleaning services,56172000_37201100_01000000
House home residential cleaning maid service,Janitorial/cleaning services,56172000_37201100_01000000
"Housekeeping services (i.e., cleaning services)",Janitorial/cleaning services,56172000_37201100_01000000
residential cleaning janitorial custodial,Janitorial/cleaning services,56172000_37201100_01000000
Window cleaning services,Window cleaning (nothing above 15 feet),56172000_37201100_02000000
"Building cleaning services, interior",Janitorial/cleaning services,56172000_37201100_01000000
Rest room cleaning services,Janitorial/cleaning services,56172000_37201100_01000000
Landscaping services (except planning),Landscaping/gardening services,56173000_37301100_01000000
"Lawn care services (e.g., fertilizing, mowing, seeding, spra",Lawn care services,56173000_37301100_02000000
"Arborist or tree services (e.g., bracing, planting, pruning,",Arborist,56173000_37301100_03000000
Garden maintenance services,Landscaping/gardening services,56173000_37301100_01000000
Lawn mowing services,Lawn care services,56173000_37301100_02000000
Gardener gardening,Landscaping/gardening services,56173000_37301100_01000000
Interior landscaping services,Landscaping/gardening services,56173000_37301100_01000000
Cleaning carpets,"Carpet, rug, furniture, or upholstery cleaning (customer’s premises only)",56174000_51601100_00010000
Power washing building exteriors,Power washing services,56179000_37201900_01000000
"Cleaning building exteriors (except sandblasting, window cle",Exterior cleaning services,56179000_37201900_02000200
Gutter cleaning services,Gutter & downspout work,23817000_47221100_00000000
Chimney cleaning chimney sweep fireplace,Chimney construction & maintenance,23814000_47202100_02000000
Mail Box or Packaging,Mail Box & Packaging Services,56143100_53706400_00000000
Tutoring,Tutoring,61169100_25309900_00000000
"Physicians' (except mental health) offices (e.g., centers, c",Physicians Office,62111100_29122900_10000000
"Family physicians' offices (e.g., centers, clinics)",Physicians Office,62111100_29122900_10000000
"Surgeons' (except dental) offices (e.g., centers, clinics) s",Surgeons Offices,62111100_29124900_00000000
"Acupuncturists' (MDs or DOs) offices (e.g., centers, clinics",Acupuncture services,62139900_29129100_02000000
"Pediatricians' (except mental health) offices (e.g., centers",Pediatricians Offices,62111100_29122100_00000000
"Anesthesiologists' offices (e.g., centers, clinics) anesthes",Surgeons Offices,62111100_29124900_00000000
"Mental health physicians' offices (e.g., centers, clinics) c",Psychiatrists Offices,62111200_29122300_00000000
Dentist dental office,Dentists Office,62121000_29102100_00000000
Psychologist psychologist's offices,Psychology,62133000_19303300_00000000
Psychiatrist psychiatrists' offices,Psychiatrists Offices,62111200_29122300_00000000
Orthodontist Office,Dentists Office,62121000_29102100_00000000
Chiropractors Office,Chiropractor,62131000_29101100_00000000
Optometrists Office,Optometrist/Opthalmologist,62132000_29104100_00000000
Occupational or Speech therapist office,Occupational therapy,62134000_29112200_00000000
Physical therapist office,Physical therapy,62134000_29112300_00000000
Medical and diagnostic laboratories,Diagnostic imaging/X-ray centers,62151200_29201100_00000000
Home health agencies,Home health aide,62161000_31112100_01000000
"Nursing agencies, primarily providing home nursing services",Home health aide,62161000_31112100_01000000
Services for the elderly and persons with disabilities,Home health aide,62161000_31112100_01000000
Physical therapy,Physical therapy,62134000_29112300_00000000
Personal training trainer,Personal training (health and fitness),61169900_29909100_01000000
Limited-service restaurants,"Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor ",72251100_11101100_00000000
Caterers catering,Catering services,72232000_11101100_00000000
Mobile food concession stands food truck,Mobile food services,72233000_11101100_10000000
Street vendor food cart food vendor,Mobile street food vendor,72233000_11101100_13000000
"Family restaurants, limited service fast casual","Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor ",72251100_11101100_00000000
Fast-food restaurants fast food,"Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor ",72251100_11101100_00000000
"Restaurant, takeout Only","Limited Service Restaurant With Alcohol <75% Of Total Receipts, w/o Dance Floor ",72251100_11101100_00000000
Coffee/Donut/Bagel shop,Donut shops,72251300_11101100_02000000
Ice cream parlor,Ice Cream Shops,72251500_11101100_07000000
Electronic repair and maintenance,Electronics (consumer) install & repair,81121100_49909900_00010000
Consumer electronics repair and maintenance,Electronics (consumer) install & repair,81121100_49909900_00010000
Computer and office machine repair and maintenance,Computer & Office Equip Repair & Maintenance,81121200_49201100_01000000
Communication equipment repair and maintenance,Electronics (consumer) install & repair,81121100_49909900_00010000
Appliance repair customer premises,Appliance and accessories installation and repair,81141200_49909900_00000000
Appliance repair shop,Appliance and accessories installation and repair,81141200_49909900_00000000
Appliance repair and maintenance,Appliance and accessories installation and repair,81141200_49909900_00000000
Reupholstery and furniture repair,Upholstery work,81142000_51609300_00000000
Other personal and household goods repair and maintenance,Appliance and accessories installation and repair,81141200_49909900_00000000
Barber shops,Barber/hair stylist services,81211100_39501100_00000000
"Hair stylist shops, men's",Barber/hair stylist services,81211100_39501100_00000000
Beauty salons,Barber/hair stylist services,81211100_39501100_00000000
"Hair stylist salons or shops, unisex or women's hairstylist",Barber/hair stylist services,81211100_39501100_00000000
"Esthetician (i.e., skin care) services esthetics aestheticia",Esthetician services,81211200_39509400_00000000
Mobile haircutting/hair stylist,Barber/hair stylist services,81211100_39501100_00000000
Make-up (except permanent) salons,Beautician/cosmetology services,81211200_39501200_00000000
Nail salons,Nail technician services,81211300_39509200_00000000
Massage therapy,Massage therapy,62139900_31901100_00000000
Day spa wellness,Day/beauty spas,81219900_39500000_00000000
Tanning salon,Day/beauty spas,81219900_39500000_00000000
Sauna,Day/beauty spas,81219900_39500000_00000000
Funeral service or mortuary,Funeral homes,81221000_11101100_00000000
Men's and boys' clothing and accessory stores,Men's Clothing Stores,44811000_11101100_00000000
Pet grooming services,Pet grooming,81291000_39202000_03000000
Pet sitting services,Pet sitting,81291000_39202000_06000000
Kennels,Kennels (Boarding),81291000_39202000_01000000
Pet grooming services - Mobile,Pet grooming,81291000_39202000_03000000
dogwalking dog walker dogwalker,Pet sitting,81291000_39202000_06000000
Pet training services,Pet Training,81291000_39201100_00000000
Coaching service,Life/career/executive coaching,54161100_11101100_00000000
Wedding and event planning,Event planning/promotion,81299000_13112100_00000000
Life coach,Life/career/executive coaching,54161100_11101100_00000000
Other social advocacy organizations,Civic non profit,81391000_11203300_02000000
Civic and social organizations,Civic non profit,81391000_11203300_02000000
